sexe,prenom,annee,nombre
1,ABDOULAYE,2020,140
1,ABDOULAYE,2021,143
1,ABDOULAYE,2022,169
1,ABDOULLAH,2007,10
1,ABDOULLAH,2012,14
1,ABDOULLAH,2013,29
1,ABDOULLAH,2014,34
1,ABDOULLAH,2015,17
1,ABDOULLAH,2017,20
1,ABDOULLAH,2019,35
1,ABDOULLAH,2021,15
1,ABDOURAHMANE,2018,10
1,ABDOURAHMANE,2019,11
1,ABDOURAHMANE,2022,10
1,ABDUL,2009,11
1,ABDUL,2017,12
1,ABDUL,2018,11
1,ABDULLAH,1993,12
1,ABDULLAH,1997,12
1,ABDULLAH,2002,18
1,ABDULLAH,2003,12
1,ABDULLAH,2004,11
1,ABDULLAH,2005,27
1,ABDULLAH,2006,17
1,ABDULLAH,2007,14
1,ABDULLAH,2008,23
1,ABDULLAH,2009,11
1,ABDULLAH,2010,23
1,ABDULLAH,2011,16
1,ABDULLAH,2012,24
1,ABDULLAH,2013,30
1,ABDULLAH,2014,43
1,ABDULLAH,2015,47
1,ABDULLAH,2016,58
1,ABDULLAH,2017,37
1,ABDULLAH,2018,54
1,ABDULLAH,2019,28
1,ABDULLAH,2020,23
1,ABDULLAH,2021,30
1,ABDULLAH,2022,29
1,ABEL,1900,382
1,ABEL,1901,464
1,ABEL,1902,478
1,ABEL,1903,451
1,ABEL,1904,429
1,ABEL,1905,486
1,ABEL,1906,479
1,ABEL,1907,506
1,ABEL,1908,484
1,ABEL,1909,541
1,ABEL,1910,489
1,ABEL,1911,453
1,ABEL,1912,468
1,ABEL,1913,495
1,ABEL,1914,433
1,ABEL,1915,253
1,ABEL,1916,168
1,ABEL,1917,184
1,ABEL,1918,223
1,ABEL,1919,275
1,ABEL,1920,442
1,ABEL,1921,480
1,ABEL,1922,432
1,ABEL,1923,400
1,ABEL,1924,373
1,ABEL,1925,376
1,ABEL,1926,317
1,ABEL,1927,357
1,ABEL,1928,250
1,ABEL,1929,303
1,ABEL,1930,274
1,ABEL,1931,251
1,ABEL,1932,232
1,ABEL,1933,193
1,ABEL,1934,166
1,ABEL,1935,159
1,ABEL,1936,117
1,ABEL,1937,139
1,ABEL,1938,126
1,ABEL,1939,104
1,ABEL,1940,71
1,ABEL,1941,58
1,ABEL,1942,49
1,ABEL,1943,38
1,ABEL,1944,38
1,ABEL,1945,60
1,ABEL,1946,66
1,ABEL,1947,56
1,ABEL,1948,53
1,ABEL,1949,60
1,ABEL,1950,47
1,ABEL,1951,25
1,ABEL,1952,32
1,ABEL,1953,31
1,ABEL,1954,18
1,ABEL,1955,12
1,ABEL,1957,12
1,ABEL,1958,25
